run_id,pid,exit_code,wallclock_s,max_rss_mb
438,9221,0,2.058974,112.109
439,9222,0,2.210065,112.961
440,9263,0,2.044890,113.965
441,9264,0,2.352839,112.473
442,9305,0,2.325284,115.090
443,9326,0,2.338826,116.125
444,9328,0,2.585119,112.762
445,9329,0,2.182081,112.242
446,9331,0,2.458372,113.949
447,9410,0,2.317722,114.016
448,9411,0,2.602902,115.715
449,9412,0,2.446405,114.762
450,9473,0,1.882342,110.461
451,9494,0,1.856487,109.996
452,9495,0,1.976560,110.902
453,9496,0,1.856785,110.293
454,9557,0,1.791431,110.020
455,9558,0,2.077045,112.938
456,9599,0,2.092784,113.340
457,9620,0,2.333306,114.305
458,9641,0,1.790979,112.215
459,9662,0,1.642055,110.660
460,9663,0,1.644856,110.199
461,9704,0,1.921890,113.578
462,9705,0,2.272650,114.949
463,9706,0,2.274325,114.902
464,9767,0,2.264710,112.895
465,9768,0,2.136865,111.641
466,9769,0,2.573240,114.273
467,9771,0,2.136893,113.219
468,9773,0,1.838431,109.559
469,9872,0,1.865846,110.652
470,9874,0,2.002154,112.113
471,9914,0,2.101923,114.801
472,9935,0,1.771771,112.496
473,9936,0,1.940664,110.922
474,9937,0,2.081835,112.426
475,9998,0,2.525647,112.867
476,9999,0,2.090186,113.332
477,10000,0,2.223242,111.949
478,10061,0,2.269251,111.816
479,10062,0,2.269665,111.285
480,10063,0,1.842315,109.859
481,10064,0,1.842662,110.445
482,10145,0,2.110099,110.500
483,10146,0,2.498116,113.727
484,10187,0,2.054036,111.090
485,10188,0,2.578017,114.965
486,10229,0,2.755214,115.594
487,10230,0,1.985090,111.000
488,10231,0,2.382819,114.070
489,10232,0,2.258146,109.930
490,10313,0,2.227437,113.070
491,10314,0,2.228162,114.688
492,10355,0,1.823792,112.465
493,10376,0,1.918429,111.094
494,10377,0,2.356821,115.926
495,10378,0,2.358585,116.168
496,10439,0,1.670488,110.277
497,10440,0,2.061180,112.496
498,10441,0,2.380159,113.668
499,10502,0,1.657295,111.473
500,10523,0,1.927103,113.223
501,10544,0,1.782939,111.223
502,10545,0,1.927905,112.242
503,10546,0,1.617243,111.113
504,10607,0,2.166481,111.188
505,10608,0,1.807179,110.609
506,10609,0,2.356030,112.078
507,10670,0,2.040316,112.211
508,10691,0,1.871431,113.297
509,10712,0,1.742187,112.535
510,10713,0,1.743894,110.617
511,10714,0,2.337552,115.785
512,10775,0,2.218060,113.734
513,10777,0,2.365368,116.922
514,10817,0,2.570924,114.195
515,10838,0,1.942896,111.918
516,10859,0,1.626390,109.789
517,10880,0,1.849503,113.562
518,10881,0,1.701784,111.699
519,10883,0,1.850297,112.984
520,10943,0,1.733931,110.598
521,10964,0,2.456850,114.215
522,10965,0,1.942508,110.680
523,10966,0,2.308896,113.891
524,10968,0,2.310540,111.234
525,11048,0,2.000069,110.930
526,11069,0,2.390767,113.906
527,11070,0,2.146329,110.520
528,11111,0,3.022986,115.031
529,11112,0,2.497257,112.316
530,11113,0,2.615650,113.645
531,11114,0,2.244247,111.445
532,11195,0,2.200831,112.145
533,11196,0,2.436005,112.844
